Time	gauge_0	gauge_1	gauge_2	gauge_3	gauge_4	gauge_5	gauge_6	gauge_7	gauge_8	gauge_9	gauge_10	gauge_11	gauge_12	gauge_13	gauge_14	gauge_15	gauge_16	gauge_17
1.9	0.032803425	0.021233767	0.014517182	0.010237063	0.0073422337	0.0053254258	0.038246217	0.0029059074	-0.07813163	-0.036271916	0.00093026783	0.00047832124	0.31062179	6.643969e-05	-0.011479806	-0.026495673	9.7410635e-07	4.1602835e-08
2	0.036695763	0.023633819	0.016127699	0.011365442	0.0081517298	0.0059155377	0.038665126	0.0032352345	-0.077862352	-0.036103641	0.0010202918	0.00051488086	0.31062823	6.8610956e-05	-0.01147937	-0.026495599	9.8852499e-07	4.2203842e-08
2.1	0.040827345	0.026156626	0.017814646	0.012546001	0.0089987259	0.0065335335	0.039104523	0.0035813822	-0.07757942	-0.035928141	0.0011124602	0.00055110586	0.31063435	7.0595753e-05	-0.011478978	-0.026495535	1.0007513e-06	4.2671152e-08
2.2	0.045199593	0.028798875	0.019574985	0.013776439	0.0098815842	0.0071782892	0.039563692	0.0039438572	-0.077283279	-0.035745825	0.0012064394	0.00058685536	0.31064013	7.2392947e-05	-0.011478637	-0.026495482	1.0098843e-06	4.3000789e-08
2.3	0.049816072	0.031558491	0.021406511	0.01505504	0.010799086	0.0078489811	0.040042123	0.0043223167	-0.076974253	-0.03555702	0.0013019758	0.00062205121	0.31064561	7.402581e-05	-0.011478334	-0.026495434	1.0197599e-06	4.3485748e-08
2.4	0.054680057	0.034433518	0.023307151	0.016380199	0.011750102	0.0085448559	0.040539356	0.0047164534	-0.076652644	-0.035362022	0.001398854	0.00065663835	0.31065078	7.552208e-05	-0.011478055	-0.026495387	1.0293694e-06	4.3884636e-08
2.5	0.059795209	0.037421686	0.025274633	0.017750184	0.012733413	0.0092650925	0.041054881	0.0051259177	-0.076318784	-0.035161139	0.0014968707	0.00069058808	0.31065568	7.6905959e-05	-0.011477793	-0.026495342	1.0390297e-06	4.4321906e-08
2.6	0.06516608	0.040521397	0.027307048	0.019163477	0.013747941	0.01000897	0.041588255	0.0055504086	-0.075972965	-0.034954638	0.0015958546	0.00072388887	0.31066034	7.8200592e-05	-0.011477541	-0.026495296	1.0487568e-06	4.4739902e-08
2.7	0.070794419	0.043729158	0.029401207	0.020617669	0.014791985	0.010775326	0.042138734	0.005989394	-0.075615662	-0.034742899	0.0016955753	0.00075648544	0.31066474	7.9397772e-05	-0.011477311	-0.026495259	1.054812e-06	4.4867294e-08
2.8	0.07668168	0.047040554	0.03155335	0.022110004	0.015863594	0.011562809	0.042705437	0.0064422346	-0.075247432	-0.034526344	0.0017957948	0.0007883207	0.31066889	8.0481648e-05	-0.011477119	-0.026495233	1.0586837e-06	4.5029152e-08
2.9	0.082831064	0.050452622	0.033760709	0.023638393	0.016961299	0.012370424	0.04328773	0.0069084744	-0.074868686	-0.03430529	0.0018963481	0.00081938431	0.3106728	8.1465232e-05	-0.011476952	-0.026495209	1.0631276e-06	4.5243743e-08
3	0.089245938	0.053962678	0.03602072	0.025200874	0.018083721	0.013197235	0.043885021	0.0073876835	-0.074479817	-0.03408003	0.0019970998	0.00084968385	0.3106765	8.2368036e-05	-0.0114768	-0.026495185	1.0679158e-06	4.5449173e-08
3.1	0.095932038	0.057569032	0.038331554	0.026796065	0.019229881	0.014042587	0.044496899	0.0078795604	-0.074081105	-0.033850767	0.0020980046	0.00087929854	0.31068003	8.3230724e-05	-0.011476641	-0.026495153	1.0763014e-06	4.5964322e-08
3.2	0.10289879	0.061273101	0.040693458	0.028424028	0.020399845	0.014906582	0.045123488	0.0083842115	-0.073672509	-0.033617479	0.0021991846	0.00090839241	0.31068347	8.4128086e-05	-0.011476437	-0.026495102	1.0911588e-06	4.6761302e-08
3.3	0.11015424	0.065074964	0.043105817	0.030084136	0.021593203	0.015788976	0.045764667	0.0089015556	-0.073254137	-0.033380222	0.0023006635	0.00093708516	0.31068686	8.5092677e-05	-0.011476184	-0.026495042	1.1056635e-06	4.7295289e-08
3.4	0.1176978	0.068969252	0.04556421	0.031773205	0.022807688	0.016688196	0.046419397	0.0094308123	-0.072826627	-0.033139399	0.0024022877	0.00096533638	0.31069018	8.6057837e-05	-0.011475941	-0.026494996	1.1126092e-06	4.7467186e-08
3.5	0.12553246	0.072953352	0.048066543	0.033489786	0.024042344	0.017603648	0.047087321	0.0099717296	-0.072390208	-0.032895127	0.0025040894	0.00099321794	0.31069344	8.7027805e-05	-0.011475704	-0.02649495	1.1228816e-06	4.8023988e-08
3.6	0.13366053	0.077024508	0.050610589	0.035232281	0.025296105	0.018534629	0.047768014	0.010523991	-0.071945142	-0.032647541	0.0026060814	0.0010207926	0.31069668	8.8015097e-05	-0.011475458	-0.0264949	1.1340321e-06	4.853125e-08
3.7	0.14208176	0.081178287	0.053192779	0.036998138	0.026567202	0.019479923	0.048460677	0.011087004	-0.071491921	-0.03239691	0.0027081682	0.0010480409	0.31069985	8.8990115e-05	-0.011475222	-0.026494859	1.1412311e-06	4.8625138e-08
3.8	0.15078864	0.085404904	0.055805733	0.038782058	0.027851865	0.02043689	0.049163533	0.011659418	-0.071031614	-0.032143891	0.0028100207	0.0010747636	0.31070288	8.9840166e-05	-0.011475068	-0.026494854	1.1337795e-06	4.7929282e-08
3.9	0.15976857	0.089691579	0.058440087	0.040577346	0.02914537	0.021402204	0.049874327	0.012239526	-0.070565592	-0.031889336	0.0029111498	0.0011006423	0.31070562	9.0409956e-05	-0.011475088	-0.026494904	1.1130274e-06	4.6680139e-08
4	0.16900382	0.094021972	0.061084419	0.042375687	0.030441697	0.022371602	0.050590136	0.012825116	-0.070095626	-0.031634366	0.0030108817	0.0011252398	0.31070784	9.0486631e-05	-0.011475333	-0.026495016	1.0761494e-06	4.4663405e-08
4.1	0.17847149	0.098376999	0.063724833	0.044167175	0.031733913	0.023340136	0.051307531	0.013413568	-0.069623792	-0.031380306	0.0031083984	0.0011479194	0.31070934	8.9978262e-05	-0.011475833	-0.026495193	1.0247411e-06	4.2059638e-08
4.2	0.1881477	0.10273941	0.066347916	0.045942474	0.033015247	0.024302942	0.052023192	0.014002341	-0.069152128	-0.031128436	0.0032028517	0.00116827	0.31071004	8.8849736e-05	-0.011476567	-0.026495418	9.6616617e-07	3.9347578e-08
4.3	0.19801593	0.10709215	0.068943298	0.047694427	0.03428067	0.025256429	0.052734667	0.01458951	-0.068682236	-0.030879762	0.0032936602	0.0011861402	0.31070996	8.7199629e-05	-0.011477439	-0.02649565	9.1271118e-07	3.7155289e-08
4.4	0.20806121	0.11142241	0.071499993	0.04941774	0.035526676	0.02619814	0.053440221	0.015173734	-0.068215215	-0.030635051	0.0033809455	0.0012015365	0.31070916	8.5188303e-05	-0.011478352	-0.026495865	8.6763154e-07	3.5336976e-08
4.5	0.21827227	0.1157196	0.074011813	0.051104562	0.036750752	0.027126318	0.054138659	0.015754018	-0.067751875	-0.030394584	0.0034644723	0.0012145984	0.31070777	8.298495e-05	-0.011479228	-0.02649605	8.3109191e-07	3.3809393e-08
4.6	0.22863947	0.11998362	0.076474873	0.052750571	0.03794586	0.028038632	0.054828293	0.016329019	-0.067293305	-0.030158716	0.0035440745	0.0012253583	0.31070586	8.0639005e-05	-0.011480079	-0.026496227	7.9253294e-07	3.2030208e-08
4.7	0.2391224	0.12419819	0.078882071	0.054353042	0.039108642	0.02893007	0.055507262	0.016897259	-0.066840643	-0.029928153	0.0036195669	0.001233829	0.31070345	7.8166324e-05	-0.011480929	-0.026496406	7.515498e-07	3.0092188e-08
4.8	0.24973417	0.12835063	0.081224807	0.055906213	0.040236913	0.029796926	0.056172468	0.017457065	-0.06639534	-0.029703636	0.0036906767	0.0012399368	0.31070053	7.5542189e-05	-0.011481808	-0.026496599	7.0610156e-07	2.7993902e-08
4.9	0.26044707	0.13242844	0.083494789	0.057404359	0.041326881	0.03063809	0.056820566	0.018006467	-0.065959366	-0.029486325	0.0037568975	0.0012434959	0.31069705	7.2725596e-05	-0.011482735	-0.026496804	6.585759e-07	2.5824226e-08
5	0.27123362	0.13642197	0.085685772	0.05884322	0.042375573	0.031451809	0.057451297	0.018542383	-0.065534131	-0.029276361	0.0038184895	0.0012448304	0.3106932	6.9804222e-05	-0.011483675	-0.026497005	6.1467869e-07	2.4018865e-08
5.1	0.28207166	0.14032211	0.08779198	0.060218856	0.043380202	0.032236105	0.058063708	0.019065101	-0.065119555	-0.029073899	0.0038754954	0.0012440955	0.31068904	6.6847052e-05	-0.011484594	-0.026497196	5.7376197e-07	2.2188919e-08
5.2	0.29293166	0.1441177	0.089806396	0.061526503	0.044337401	0.032988545	0.058656099	0.019573529	-0.064716706	-0.02887939	0.0039278534	0.0012413669	0.31068459	6.3856462e-05	-0.011485505	-0.026497386	5.3111835e-07	2.0251651e-08
5.3	0.30378234	0.14779585	0.091720913	0.06276061	0.045243229	0.033706276	0.059226439	0.020066035	-0.064326801	-0.028693376	0.0039754289	0.0012366492	0.31067984	6.0797751e-05	-0.011486437	-0.026497587	4.8387159e-07	1.7975552e-08
5.4	0.31458939	0.15134243	0.093526501	0.06391489	0.046093212	0.034386054	0.059772418	0.020540752	-0.063951212	-0.028516499	0.004018013	0.0012298819	0.31067477	5.7612651e-05	-0.011487427	-0.026497809	4.3054379e-07	1.5498024e-08
5.5	0.32531559	0.15474305	0.095214514	0.064983463	0.046883195	0.035024867	0.060291878	0.020995917	-0.063591211	-0.02834934	0.0040554334	0.0012210254	0.31066934	5.4273033e-05	-0.011488479	-0.026498047	3.7479315e-07	1.2977454e-08
5.6	0.33592823	0.15798887	0.096779997	0.065963024	0.047610844	0.035621005	0.060783556	0.021430434	-0.063247532	-0.028192115	0.0040877738	0.0012102216	0.31066362	5.0847087e-05	-0.011489539	-0.026498275	3.261811e-07	1.1058637e-08
5.7	0.34638991	0.1610691	0.098216679	0.066849462	0.048273239	0.036172338	0.061245895	0.021842997	-0.062921156	-0.028045144	0.0041150495	0.0011975668	0.31065765	4.7375132e-05	-0.011490586	-0.026498493	2.7853883e-07	8.8458503e-09
5.8	0.35666393	0.16397561	0.099520086	0.067639922	0.048868336	0.036677352	0.061677759	0.022232636	-0.062612921	-0.027908562	0.0041373979	0.0011832286	0.3106515	4.3906538e-05	-0.011491604	-0.0264987	2.3481702e-07	7.0613844e-09
5.9	0.36670975	0.16669797	0.10068409	0.068330301	0.049393206	0.037133884	0.062077562	0.022598053	-0.062323965	-0.027782674	0.0041548296	0.0011672751	0.31064518	4.0438844e-05	-0.011492606	-0.026498906	1.8872893e-07	4.8767799e-09
6	0.37648269	0.16922304	0.10170265	0.068916334	0.049844881	0.037539706	0.062443672	0.022937926	-0.062055434	-0.027667795	0.0041673377	0.0011497486	0.31063869	3.6950588e-05	-0.011493615	-0.026499117	1.4074493e-07	2.7464306e-09
6.1	0.38593691	0.17153797	0.10257059	0.069395574	0.050221368	0.03789326	0.062774902	0.023251271	-0.06180816	-0.027564062	0.0041750298	0.0011307645	0.31063206	3.3465322e-05	-0.011494613	-0.026499324	9.5889128e-08	6.8719963e-10
6.2	0.3950282	0.17363767	0.10328427	0.069765886	0.050521955	0.038193912	0.06307062	0.023537513	-0.061582559	-0.027471384	0.0041781659	0.0011105427	0.31062538	3.005199e-05	-0.011495562	-0.02649951	5.7890055e-08	-7.4274631e-10
6.3	0.4037006	0.17551321	0.10384017	0.07002475	0.050744419	0.038440163	0.063329691	0.023795695	-0.061379255	-0.027389865	0.0041768625	0.0010891924	0.31061867	2.6712601e-05	-0.011496472	-0.02649969	1.914956e-08	-2.5120794e-09
6.4	0.41189745	0.17716053	0.10423373	0.070170731	0.050888819	0.03863179	0.063551794	0.024025403	-0.061198396	-0.027319322	0.0041714169	0.0010669317	0.310612	2.3491752e-05	-0.011497326	-0.026499853	-1.4028776e-08	-3.8916443e-09
6.5	0.4195517	0.1785645	0.10446532	0.070202393	0.050952482	0.038767731	0.063735946	0.024225841	-0.061040415	-0.027259801	0.0041619603	0.0010438539	0.31060537	2.0374441e-05	-0.011498143	-0.026500022	-4.9638318e-08	-5.5516871e-09
6.6	0.42659415	0.17971675	0.10453079	0.070116925	0.050935059	0.038847115	0.063881587	0.024396426	-0.060905542	-0.027211215	0.004148698	0.0010200919	0.31059881	1.7360396e-05	-0.011498925	-0.026500186	-8.255377e-08	-6.8577179e-09
6.7	0.43298038	0.18061317	0.10442716	0.069914652	0.050836435	0.038869695	0.063988769	0.024536947	-0.060793712	-0.027173273	0.0041319798	0.00099587464	0.31059239	1.4506306e-05	-0.01149964	-0.026500327	-1.0749033e-07	-7.8273743e-09
6.8	0.43866033	0.18124676	0.10415316	0.06959782	0.050657997	0.038836484	0.064057918	0.024647707	-0.060704483	-0.027145448	0.0041123092	0.0009715322	0.31058622	1.1902232e-05	-0.011500236	-0.02650043	-1.2263741e-07	-8.3301757e-09
6.9	0.44357345	0.18160999	0.10370904	0.069165723	0.050399263	0.038746177	0.064088429	0.024728307	-0.060637949	-0.027127578	0.0040899224	0.00094718447	0.31058031	9.5172401e-06	-0.011500758	-0.026500525	-1.4092487e-07	-9.2126431e-09
7	0.44764361	0.18170363	0.10309406	0.068617783	0.050060182	0.038599323	0.064079991	0.024778696	-0.060594011	-0.027119402	0.00406508	0.00092294403	0.31057465	7.3202978e-06	-0.011501237	-0.026500618	-1.5972489e-07	-1.0162202e-08
7.1	0.45079954	0.18152428	0.10230757	0.067953223	0.049640152	0.038395747	0.064030405	0.02479831	-0.060572605	-0.027120723	0.0040379719	0.00089886463	0.31056922	5.259927e-06	-0.011501697	-0.026500716	-1.8015436e-07	-1.1009758e-08
7.2	0.45296352	0.18104695	0.10135127	0.067174769	0.0491405	0.03813618	0.063940589	0.024787414	-0.060572971	-0.027130987	0.004008989	0.00087513624	0.31056407	3.3704746e-06	-0.011502104	-0.026500794	-1.92226e-07	-1.1292542e-08
7.3	0.45409565	0.18027467	0.10022933	0.066287879	0.048565687	0.037823401	0.063812546	0.024747393	-0.060593751	-0.027149114	0.0039788655	0.00085219849	0.31055936	1.8130387e-06	-0.011502362	-0.026500812	-1.8567412e-07	-1.0542111e-08
7.4	0.45413198	0.17921001	0.098943946	0.065296284	0.047919226	0.037459876	0.063647723	0.024679286	-0.060634166	-0.027174149	0.0039481864	0.00083037932	0.31055517	6.6208893e-07	-0.01150245	-0.026500782	-1.7230285e-07	-9.9655679e-09
7.5	0.45291181	0.17784506	0.09749579	0.064199787	0.047201992	0.037046778	0.063446666	0.024583572	-0.060693179	-0.027205714	0.0039172455	0.00080977158	0.3105515	-1.5655927e-07	-0.011502446	-0.026500747	-1.6477925e-07	-9.7958086e-09
7.6	0.45035963	0.17616712	0.095878469	0.062996248	0.046412153	0.036583087	0.063209165	0.024460098	-0.060770242	-0.027243812	0.0038860256	0.0007902017	0.31054821	-8.2169347e-07	-0.011502464	-0.026500748	-1.7092606e-07	-1.0376985e-08
7.7	0.44639231	0.17416908	0.094092194	0.061684633	0.045549727	0.036068992	0.062935301	0.024309328	-0.060864757	-0.027288039	0.0038547057	0.00077165708	0.31054525	-1.3900606e-06	-0.011502505	-0.026500761	-1.7412505e-07	-1.0285131e-08
7.8	0.4409281	0.17184591	0.092140921	0.060268599	0.044615927	0.035505387	0.062625901	0.024131949	-0.060975634	-0.027337813	0.0038236431	0.00075428038	0.31054267	-1.7973844e-06	-0.0115025	-0.026500748	-1.6717632e-07	-9.7772705e-09
7.9	0.43389162	0.16919765	0.090029882	0.058753976	0.043614801	0.034894046	0.062282112	0.023929042	-0.061101596	-0.027392253	0.0037933668	0.00073833003	0.31054054	-1.931051e-06	-0.011502379	-0.026500688	-1.4713536e-07	-8.5344762e-09
8	0.42520389	0.16621707	0.087760694	0.057142527	0.042548463	0.034236227	0.061903908	0.023700784	-0.061242052	-0.027450738	0.0037640348	0.00072387325	0.31053886	-1.8114557e-06	-0.011502175	-0.026500613	-1.3023243e-07	-8.0482252e-09
8.1	0.41476935	0.1628948	0.085330608	0.05543375	0.041416161	0.033531642	0.061490796	0.023445998	-0.061397607	-0.027513432	0.0037357213	0.00071078299	0.31053753	-1.586074e-06	-0.011501988	-0.026500568	-1.2579915e-07	-8.0933802e-09
8.2	0.40248843	0.15921503	0.082738093	0.053626558	0.040217618	0.032779674	0.061042248	0.023164328	-0.061568977	-0.027580654	0.00370821	0.00069881724	0.31053643	-1.3905464e-06	-0.01150188	-0.02650056	-1.299247e-07	-8.3658911e-09
8.3	0.38827494	0.15517008	0.079984414	0.051724438	0.038954652	0.03198179	0.06055924	0.022856287	-0.061755535	-0.027652221	0.0036815685	0.00068788963	0.31053551	-1.2137612e-06	-0.011501807	-0.026500554	-1.2841272e-07	-8.1926199e-09
8.4	0.37203119	0.15075128	0.077071352	0.049730239	0.037630432	0.031139503	0.06004279	0.022522994	-0.061956541	-0.027727587	0.0036559275	0.0006780167	0.31053478	-9.9914514e-07	-0.011501717	-0.026500531	-1.2050161e-07	-7.5722273e-09
8.5	0.35371104	0.14595221	0.074000843	0.04764703	0.036247524	0.030255446	0.059494149	0.022165288	-0.06217109	-0.027806162	0.0036315474	0.00066925429	0.31053428	-6.8651926e-07	-0.011501574	-0.026500484	-1.0758522e-07	-7.0851911e-09
8.6	0.33321523	0.14075942	0.070770675	0.045473953	0.034805555	0.029329211	0.058913801	0.021783067	-0.062399228	-0.027888031	0.0036082759	0.00066145696	0.31053394	-3.6933831e-07	-0.011501452	-0.026500458	-1.0608336e-07	-7.2680049e-09
8.7	0.31043898	0.13515283	0.067375288	0.043208731	0.033302852	0.028359609	0.058300505	0.021376305	-0.0626412	-0.027973668	0.0035857389	0.00065429745	0.31053364	-1.8757333e-07	-0.011501432	-0.026500478	-1.179217e-07	-8.1036529e-09
8.8	0.28532026	0.12911717	0.063812215	0.040851498	0.031739799	0.027346615	0.057654309	0.020944707	-0.062896725	-0.028063021	0.0035636379	0.00064751603	0.31053325	-1.7442699e-07	-0.011501502	-0.026500521	-1.2960684e-07	-8.526337e-09
8.9	0.25780132	0.12264052	0.06008137	0.038403626	0.030117811	0.02629121	0.05697558	0.020488769	-0.063165539	-0.028155828	0.0035419115	0.00064097348	0.31053276	-2.8300842e-07	-0.011501604	-0.026500558	-1.362233e-07	-8.6451735e-09
9	0.22783045	0.11571232	0.056183047	0.035867278	0.028438754	0.025194809	0.056265309	0.020009055	-0.063447123	-0.028251471	0.003520582	0.00063471833	0.31053223	-4.5859506e-07	-0.011501691	-0.026500577	-1.3718968e-07	-8.7017007e-09
